sample_size,population_full,methodology,candidate_name,candidate_party,pct
846,rv,Online,Jo Jorgensen,LIB,1.1
846,rv,Online,Howie Hawkins,GRE,0.8
500,a,Online,Joseph R. Biden Jr.,DEM,56.0
500,a,Online,Donald Trump,REP,28.0
3280,lv,Online,Joseph R. Biden Jr.,DEM,51.0
3280,lv,Online,Donald Trump,REP,43.0
1867,lv,Online,Joseph R. Biden Jr.,DEM,48.0
1867,lv,Online,Donald Trump,REP,41.0
1867,lv,Online,Jo Jorgensen,LIB,2.0
1867,lv,Online,Howie Hawkins,GRE,1.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,43.0
1000,rv,Live Phone,Joseph R. Biden Jr.,DEM,49.0
1000,rv,Live Phone,Donald Trump,REP,42.0
900,rv,Live Phone,Joseph R. Biden Jr.,DEM,50.0
900,rv,Live Phone,Donald Trump,REP,41.0
800,lv,Online,Joseph R. Biden Jr.,DEM,43.0
800,lv,Online,Donald Trump,REP,50.0
4000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
4000,lv,Online,Donald Trump,REP,42.0
880,a,Online,Joseph R. Biden Jr.,DEM,51.66
880,a,Online,Donald Trump,REP,41.04
782,rv,Online,Joseph R. Biden Jr.,DEM,52.42
782,rv,Online,Donald Trump,REP,39.66
1215,a,Online,Joseph R. Biden Jr.,DEM,56.0
1215,a,Online,Donald Trump,REP,43.0
1215,a,Online,Joseph R. Biden Jr.,DEM,43.0
1215,a,Online,Donald Trump,REP,37.0
1215,a,Online,Jo Jorgensen,LIB,2.0
1215,a,Online,Howie Hawkins,GRE,1.0
1215,a,Online,Kanye West,IND,3.0
1034,rv,Online,Joseph R. Biden Jr.,DEM,58.0
1034,rv,Online,Donald Trump,REP,42.0
1034,rv,Online,Joseph R. Biden Jr.,DEM,47.0
1034,rv,Online,Donald Trump,REP,38.0
1034,rv,Online,Jo Jorgensen,LIB,2.0
1034,rv,Online,Howie Hawkins,GRE,1.0
1034,rv,Online,Kanye West,IND,2.0
1208,rv,Online,Joseph R. Biden Jr.,DEM,49.0
1208,rv,Online,Donald Trump,REP,39.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,50.0
12000,lv,Online,Donald Trump,REP,43.0
2828,rv,Online,Joseph R. Biden Jr.,DEM,44.0
2828,rv,Online,Donald Trump,REP,40.0
3000,lv,IVR/Online,Joseph R. Biden Jr.,DEM,49.0
3000,lv,IVR/Online,Donald Trump,REP,43.0
1118,rv,Live Phone,Joseph R. Biden Jr.,DEM,53.0
1118,rv,Live Phone,Donald Trump,REP,42.0
4000,lv,Online,Joseph R. Biden Jr.,DEM,50.0
4000,lv,Online,Donald Trump,REP,43.0
1983,rv,Online,Joseph R. Biden Jr.,DEM,49.0
1983,rv,Online,Donald Trump,REP,40.0
1983,rv,Online,Kanye West,IND,2.0
733,lv,Online/Text,Joseph R. Biden Jr.,DEM,51.0
733,lv,Online/Text,Donald Trump,REP,49.0
661,lv,IVR/Online,Joseph R. Biden Jr.,DEM,53.3
661,lv,IVR/Online,Donald Trump,REP,46.7
673,lv,IVR/Online,Joseph R. Biden Jr.,DEM,49.41
673,lv,IVR/Online,Donald Trump,REP,50.59
843,lv,IVR/Online,Joseph R. Biden Jr.,DEM,53.31
843,lv,IVR/Online,Donald Trump,REP,46.69
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,43.0
785,rv,Live Phone,Joseph R. Biden Jr.,DEM,51.0
785,rv,Live Phone,Donald Trump,REP,41.0
785,rv,Live Phone,Jo Jorgensen,LIB,2.0
785,rv,Live Phone,Howie Hawkins,GRE,1.0
1419,rv,Online,Joseph R. Biden Jr.,DEM,52.0
1419,rv,Online,Donald Trump,REP,42.0
600,lv,Live Phone,Joseph R. Biden Jr.,DEM,45.0
600,lv,Live Phone,Donald Trump,REP,44.0
600,lv,Live Phone,Jo Jorgensen,LIB,2.0
600,lv,Live Phone,Don Blankenship,CON,1.0
600,lv,Live Phone,Howie Hawkins,GRE,1.0
2200,a,Online,Joseph R. Biden Jr.,DEM,47.0
2200,a,Online,Donald Trump,REP,36.0
4000,lv,Online,Joseph R. Biden Jr.,DEM,50.0
4000,lv,Online,Donald Trump,REP,43.0
1904,lv,Online,Joseph R. Biden Jr.,DEM,61.0
1904,lv,Online,Donald Trump,REP,25.0
1904,lv,Online,Jo Jorgensen,LIB,1.0
1904,lv,Online,Howie Hawkins,GRE,1.0
11967,lv,Online,Joseph R. Biden Jr.,DEM,51.0
11967,lv,Online,Donald Trump,REP,43.0
2143,lv,Online,Joseph R. Biden Jr.,DEM,50.0
2143,lv,Online,Donald Trump,REP,44.0
2143,lv,Online,Jo Jorgensen,LIB,3.0
2143,lv,Online,Howie Hawkins,GRE,1.0
428,lv,Online,Joseph R. Biden Jr.,DEM,45.0
428,lv,Online,Donald Trump,REP,44.0
469,lv,Online,Joseph R. Biden Jr.,DEM,50.0
469,lv,Online,Donald Trump,REP,44.0
413,lv,Online,Joseph R. Biden Jr.,DEM,48.0
413,lv,Online,Donald Trump,REP,43.0
491,lv,Online,Joseph R. Biden Jr.,DEM,47.0
491,lv,Online,Donald Trump,REP,48.0
456,lv,Online,Joseph R. Biden Jr.,DEM,48.0
456,lv,Online,Donald Trump,REP,44.0
384,lv,Online,Joseph R. Biden Jr.,DEM,47.0
384,lv,Online,Donald Trump,REP,43.0
501,lv,Live Phone,Joseph R. Biden Jr.,DEM,63.0
501,lv,Live Phone,Donald Trump,REP,27.0
1202,lv,IVR/Online,Joseph R. Biden Jr.,DEM,41.0
1202,lv,IVR/Online,Donald Trump,REP,48.0
694,lv,Live Phone,Joseph R. Biden Jr.,DEM,50.0
694,lv,Live Phone,Donald Trump,REP,46.0
801,rv,Live Phone,Joseph R. Biden Jr.,DEM,50.0
801,rv,Live Phone,Donald Trump,REP,45.0
600,lv,Live Phone,Joseph R. Biden Jr.,DEM,43.0
600,lv,Live Phone,Donald Trump,REP,53.0
500,rv,Live Phone/Online,Joseph R. Biden Jr.,DEM,44.0
500,rv,Live Phone/Online,Donald Trump,REP,36.0
453,lv,Live Phone/Online,Joseph R. Biden Jr.,DEM,45.0
453,lv,Live Phone/Online,Donald Trump,REP,38.0
250,rv,Live Phone/Online,Joseph R. Biden Jr.,DEM,49.0
250,rv,Live Phone/Online,Donald Trump,REP,33.0
249,rv,Live Phone/Online,Joseph R. Biden Jr.,DEM,39.0
249,rv,Live Phone/Online,Donald Trump,REP,38.0
1200,rv,IVR/Online/Text,Joseph R. Biden Jr.,DEM,45.0
1200,rv,IVR/Online/Text,Donald Trump,REP,37.0
1200,rv,IVR/Online/Text,Jo Jorgensen,LIB,1.0
1200,rv,IVR/Online/Text,Howie Hawkins,GRE,1.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,43.0
623,lv,Online,Joseph R. Biden Jr.,DEM,46.0
623,lv,Online,Donald Trump,REP,44.0
1013,lv,IVR,Joseph R. Biden Jr.,DEM,44.8
1013,lv,IVR,Donald Trump,REP,46.2
1013,lv,IVR,Jo Jorgensen,LIB,3.2
750,lv,IVR/Online,Joseph R. Biden Jr.,DEM,47.26
750,lv,IVR/Online,Donald Trump,REP,48.36
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,42.0
1211,lv,Online,Joseph R. Biden Jr.,DEM,49.0
1211,lv,Online,Donald Trump,REP,43.0
994,lv,Online,Joseph R. Biden Jr.,DEM,48.0
994,lv,Online,Donald Trump,REP,42.0
1007,lv,Online,Joseph R. Biden Jr.,DEM,46.0
1007,lv,Online,Mike Pence,REP,29.0
1007,lv,Online,Jo Jorgensen,LIB,4.0
1007,lv,Online,Kanye West,IND,5.0
1007,lv,Online,Howie Hawkins,GRE,2.0
1019,lv,Online,Joseph R. Biden Jr.,DEM,47.0
1019,lv,Online,Donald Trump,REP,39.0
1019,lv,Online,Jo Jorgensen,LIB,2.0
1019,lv,Online,Kanye West,IND,2.0
1019,lv,Online,Howie Hawkins,GRE,1.0
500,rv,Online,Joseph R. Biden Jr.,DEM,61.0
500,rv,Online,Donald Trump,REP,28.0
864,v,IVR/Text,Joseph R. Biden Jr.,DEM,43.0
864,v,IVR/Text,Donald Trump,REP,50.0
750,lv,IVR/Online,Joseph R. Biden Jr.,DEM,55.17
750,lv,IVR/Online,Donald Trump,REP,42.56
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,42.0
1000,lv,Live Phone,Joseph R. Biden Jr.,DEM,53.28
1000,lv,Live Phone,Donald Trump,REP,39.99
761,rv,Online,Joseph R. Biden Jr.,DEM,47.0
761,rv,Online,Donald Trump,REP,43.0
742,rv,Online,Joseph R. Biden Jr.,DEM,50.0
742,rv,Online,Donald Trump,REP,41.0
734,rv,Online,Joseph R. Biden Jr.,DEM,49.0
734,rv,Online,Donald Trump,REP,43.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,42.0
2850,rv,Online,Joseph R. Biden Jr.,DEM,43.0
2850,rv,Online,Donald Trump,REP,40.0
1015,lv,IVR,Joseph R. Biden Jr.,DEM,43.4
1015,lv,IVR,Donald Trump,REP,49.4
1015,lv,IVR,Jo Jorgensen,LIB,1.8
1018,lv,Online,Joseph R. Biden Jr.,DEM,48.0
1018,lv,Online,Donald Trump,REP,38.0
1018,lv,Online,Jo Jorgensen,LIB,2.0
1018,lv,Online,Howie Hawkins,GRE,1.0
1115,a,Online,Joseph R. Biden Jr.,DEM,54.0
1115,a,Online,Donald Trump,REP,45.0
964,rv,Online,Joseph R. Biden Jr.,DEM,56.0
964,rv,Online,Donald Trump,REP,44.0
603,lv,IVR/Live Phone,Joseph R. Biden Jr.,DEM,49.0
603,lv,IVR/Live Phone,Donald Trump,REP,45.0
1229,rv,Online,Joseph R. Biden Jr.,DEM,49.0
1229,rv,Online,Donald Trump,REP,40.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,42.0
400,lv,Live Phone,Joseph R. Biden Jr.,DEM,48.0
400,lv,Live Phone,Donald Trump,REP,51.0
400,lv,Live Phone,Joseph R. Biden Jr.,DEM,49.0
400,lv,Live Phone,Donald Trump,REP,49.0
400,lv,Live Phone,Joseph R. Biden Jr.,DEM,50.0
400,lv,Live Phone,Donald Trump,REP,46.0
400,lv,Live Phone,Joseph R. Biden Jr.,DEM,47.0
400,lv,Live Phone,Donald Trump,REP,47.0
1245,lv,Live Phone,Joseph R. Biden Jr.,DEM,52.0
1245,lv,Live Phone,Donald Trump,REP,43.0
2500,lv,IVR/Online,Joseph R. Biden Jr.,DEM,48.0
2500,lv,IVR/Online,Donald Trump,REP,45.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,42.0
401,rv,Live Phone,Joseph R. Biden Jr.,DEM,45.0
401,rv,Live Phone,Donald Trump,REP,48.0
401,rv,Live Phone,Jo Jorgensen,LIB,3.0
401,lv,Live Phone,Joseph R. Biden Jr.,DEM,46.0
401,lv,Live Phone,Donald Trump,REP,48.0
401,lv,Live Phone,Jo Jorgensen,LIB,2.0
401,lv,Live Phone,Joseph R. Biden Jr.,DEM,47.0
401,lv,Live Phone,Donald Trump,REP,47.0
401,lv,Live Phone,Jo Jorgensen,LIB,2.0
909,rv,Live Phone,Joseph R. Biden Jr.,DEM,41.0
909,rv,Live Phone,Donald Trump,REP,50.0
807,rv,Live Phone,Joseph R. Biden Jr.,DEM,52.0
807,rv,Live Phone,Donald Trump,REP,37.0
392,rv,Live Phone,Joseph R. Biden Jr.,DEM,61.0
392,rv,Live Phone,Donald Trump,REP,30.0
382,rv,Live Phone,Joseph R. Biden Jr.,DEM,44.0
382,rv,Live Phone,Donald Trump,REP,45.0
914,rv,Live Phone,Joseph R. Biden Jr.,DEM,42.0
914,rv,Live Phone,Donald Trump,REP,47.0
584,lv,Text,Joseph R. Biden Jr.,DEM,45.51
584,lv,Text,Donald Trump,REP,54.49
11568,lv,Online,Joseph R. Biden Jr.,DEM,51.0
11568,lv,Online,Donald Trump,REP,42.0
9114,rv,Online,Joseph R. Biden Jr.,DEM,53.0
9114,rv,Online,Donald Trump,REP,45.0
500,rv,Online,Joseph R. Biden Jr.,DEM,50.0
500,rv,Online,Donald Trump,REP,39.0
609,lv,Online,Joseph R. Biden Jr.,DEM,36.0
609,lv,Online,Donald Trump,REP,58.0
793,lv,Online,Joseph R. Biden Jr.,DEM,35.0
793,lv,Online,Donald Trump,REP,59.0
741,lv,Online,Joseph R. Biden Jr.,DEM,44.0
741,lv,Online,Donald Trump,REP,49.0
2576,lv,Online,Joseph R. Biden Jr.,DEM,47.0
2576,lv,Online,Donald Trump,REP,46.0
900,lv,Online,Joseph R. Biden Jr.,DEM,38.0
900,lv,Online,Donald Trump,REP,55.0
1215,lv,Online/Text,Joseph R. Biden Jr.,DEM,45.0
1215,lv,Online/Text,Donald Trump,REP,43.0
1215,lv,Online/Text,Jo Jorgensen,LIB,2.0
1215,lv,Online/Text,Howie Hawkins,GRE,1.0
1215,lv,Online/Text,Joseph R. Biden Jr.,DEM,47.0
1215,lv,Online/Text,Donald Trump,REP,44.0
1101,lv,Online/Text,Joseph R. Biden Jr.,DEM,42.0
1101,lv,Online/Text,Donald Trump,REP,44.0
1101,lv,Online/Text,Jo Jorgensen,LIB,3.0
1101,lv,Online/Text,Howie Hawkins,GRE,1.0
1101,lv,Online/Text,Joseph R. Biden Jr.,DEM,45.0
1101,lv,Online/Text,Donald Trump,REP,46.0
866,lv,Online/Text,Joseph R. Biden Jr.,DEM,49.0
866,lv,Online/Text,Donald Trump,REP,42.0
866,lv,Online/Text,Jo Jorgensen,LIB,1.0
866,lv,Online/Text,Howie Hawkins,GRE,1.0
866,lv,Online/Text,Joseph R. Biden Jr.,DEM,53.0
866,lv,Online/Text,Donald Trump,REP,43.0
1170,lv,Online/Text,Joseph R. Biden Jr.,DEM,46.0
1170,lv,Online/Text,Donald Trump,REP,44.0
1170,lv,Online/Text,Jo Jorgensen,LIB,2.0
1170,lv,Online/Text,Howie Hawkins,GRE,1.0
1170,lv,Online/Text,Joseph R. Biden Jr.,DEM,49.0
1170,lv,Online/Text,Donald Trump,REP,45.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,50.0
12000,lv,Online,Donald Trump,REP,43.0
1000,rv,IVR/Online/Text,Joseph R. Biden Jr.,DEM,31.0
1000,rv,IVR/Online/Text,Donald Trump,REP,50.0
1000,rv,IVR/Online/Text,Jo Jorgensen,LIB,3.0
1000,rv,IVR/Online/Text,Howie Hawkins,GRE,1.0
200,lv,Online/Text,Joseph R. Biden Jr.,DEM,49.0
200,lv,Online/Text,Donald Trump,REP,43.0
200,lv,Online/Text,Joseph R. Biden Jr.,DEM,51.0
200,lv,Online/Text,Donald Trump,REP,41.0
200,lv,Online/Text,Joseph R. Biden Jr.,DEM,54.0
200,lv,Online/Text,Donald Trump,REP,36.0
200,lv,Online/Text,Joseph R. Biden Jr.,DEM,53.0
200,lv,Online/Text,Donald Trump,REP,42.0
934,v,IVR/Text,Joseph R. Biden Jr.,DEM,49.0
934,v,IVR/Text,Donald Trump,REP,46.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,50.0
12000,lv,Online,Donald Trump,REP,43.0
1129,lv,Online,Joseph R. Biden Jr.,DEM,48.0
1129,lv,Online,Donald Trump,REP,44.0
1109,lv,Online,Joseph R. Biden Jr.,DEM,46.0
1109,lv,Online,Donald Trump,REP,45.0
400,rv,Online,Joseph R. Biden Jr.,DEM,44.0
400,rv,Online,Donald Trump,REP,40.0
400,rv,Online,Joseph R. Biden Jr.,DEM,47.0
400,rv,Online,Donald Trump,REP,37.0
964,lv,IVR/Online,Joseph R. Biden Jr.,DEM,53.25
964,lv,IVR/Online,Donald Trump,REP,46.75
572,lv,Live Phone/Text,Joseph R. Biden Jr.,DEM,36.0
572,lv,Live Phone/Text,Donald Trump,REP,56.0
1088,rv,Online,Joseph R. Biden Jr.,DEM,49.0
1088,rv,Online,Donald Trump,REP,40.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,50.0
12000,lv,Online,Donald Trump,REP,43.0
975,rv,IVR/Text,Joseph R. Biden Jr.,DEM,56.0
975,rv,IVR/Text,Donald Trump,REP,29.0
500,rv,Online,Joseph R. Biden Jr.,DEM,40.0
500,rv,Online,Donald Trump,REP,41.0
600,lv,Live Phone,Joseph R. Biden Jr.,DEM,51.0
600,lv,Live Phone,Donald Trump,REP,40.0
600,lv,Live Phone,Jo Jorgensen,LIB,3.0
876,v,IVR/Text,Joseph R. Biden Jr.,DEM,49.0
876,v,IVR/Text,Donald Trump,REP,43.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,50.0
12000,lv,Online,Donald Trump,REP,43.0
3020,rv,IVR/Text,Joseph R. Biden Jr.,DEM,45.0
3020,rv,IVR/Text,Donald Trump,REP,52.0
891,a,Online,Joseph R. Biden Jr.,DEM,50.88
891,a,Online,Donald Trump,REP,43.2
794,rv,Online,Joseph R. Biden Jr.,DEM,51.75
794,rv,Online,Donald Trump,REP,42.38
1115,a,Online,Joseph R. Biden Jr.,DEM,57.0
1115,a,Online,Donald Trump,REP,43.0
947,rv,Online,Joseph R. Biden Jr.,DEM,57.0
947,rv,Online,Donald Trump,REP,43.0
1260,rv,Online,Joseph R. Biden Jr.,DEM,49.0
1260,rv,Online,Donald Trump,REP,40.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,42.0
1160,rv,Online,Joseph R. Biden Jr.,DEM,48.0
1160,rv,Online,Donald Trump,REP,41.0
1039,a,Online,Joseph R. Biden Jr.,DEM,38.5
1039,a,Online,Donald Trump,REP,31.1
914,lv,Online,Joseph R. Biden Jr.,DEM,47.5
914,lv,Online,Donald Trump,REP,40.4
2500,lv,IVR/Online,Joseph R. Biden Jr.,DEM,48.0
2500,lv,IVR/Online,Donald Trump,REP,42.0
1893,lv,Online,Joseph R. Biden Jr.,DEM,53.0
1893,lv,Online,Donald Trump,REP,40.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12000,lv,Online,Donald Trump,REP,42.0
402,rv,Live Phone,Joseph R. Biden Jr.,DEM,47.0
402,rv,Live Phone,Donald Trump,REP,47.0
402,rv,Live Phone,Jo Jorgensen,LIB,3.0
402,lv,Live Phone,Joseph R. Biden Jr.,DEM,47.0
402,lv,Live Phone,Donald Trump,REP,48.0
402,lv,Live Phone,Jo Jorgensen,LIB,2.0
402,lv,Live Phone,Joseph R. Biden Jr.,DEM,46.0
402,lv,Live Phone,Donald Trump,REP,49.0
402,lv,Live Phone,Jo Jorgensen,LIB,2.0
1504,rv,Live Phone,Joseph R. Biden Jr.,DEM,48.0
1504,rv,Live Phone,Donald Trump,REP,41.0
534,lv,Online,Joseph R. Biden Jr.,DEM,62.0
534,lv,Online,Donald Trump,REP,28.0
600,lv,Live Phone,Joseph R. Biden Jr.,DEM,52.1
600,lv,Live Phone,Donald Trump,REP,37.9
6756,lv,Online,Joseph R. Biden Jr.,DEM,67.0
6756,lv,Online,Donald Trump,REP,28.0
1059,lv,Online,Joseph R. Biden Jr.,DEM,51.0
1059,lv,Online,Donald Trump,REP,45.0
12235,lv,Online,Joseph R. Biden Jr.,DEM,51.0
12235,lv,Online,Donald Trump,REP,43.0
1039,lv,Online,Joseph R. Biden Jr.,DEM,51.0
1039,lv,Online,Donald Trump,REP,42.0
1039,lv,Online,Jo Jorgensen,LIB,2.0
1039,lv,Online,Howie Hawkins,GRE,1.0
365,lv,Online,Joseph R. Biden Jr.,DEM,47.0
365,lv,Online,Donald Trump,REP,45.0
685,lv,Online,Joseph R. Biden Jr.,DEM,48.0
685,lv,Online,Donald Trump,REP,45.0
413,lv,Online,Joseph R. Biden Jr.,DEM,46.0
413,lv,Online,Donald Trump,REP,42.0
284,lv,Online,Joseph R. Biden Jr.,DEM,49.0
284,lv,Online,Donald Trump,REP,46.0
382,lv,Online,Joseph R. Biden Jr.,DEM,48.0
382,lv,Online,Donald Trump,REP,46.0
392,lv,Online,Joseph R. Biden Jr.,DEM,48.0
392,lv,Online,Donald Trump,REP,43.0
667,rv,Live Phone/Online,Joseph R. Biden Jr.,DEM,50.0
667,rv,Live Phone/Online,Donald Trump,REP,41.0
908,lv,Online,Joseph R. Biden Jr.,DEM,49.0
908,lv,Online,Donald Trump,REP,42.0
616,lv,Online,Joseph R. Biden Jr.,DEM,52.0
616,lv,Online,Donald Trump,REP,39.0
3760,lv,Online,Joseph R. Biden Jr.,DEM,49.0
3760,lv,Online,Donald Trump,REP,46.0
1337,lv,Online,Joseph R. Biden Jr.,DEM,47.0
1337,lv,Online,Donald Trump,REP,46.0
1320,lv,Online,Joseph R. Biden Jr.,DEM,52.0
1320,lv,Online,Donald Trump,REP,42.0
662,lv,Online,Joseph R. Biden Jr.,DEM,47.0
662,lv,Online,Donald Trump,REP,44.0
1504,lv,Online,Joseph R. Biden Jr.,DEM,47.0
1504,lv,Online,Donald Trump,REP,47.0
1741,lv,Online,Joseph R. Biden Jr.,DEM,45.0
1741,lv,Online,Donald Trump,REP,48.0
2092,lv,Online,Joseph R. Biden Jr.,DEM,50.0
2092,lv,Online,Donald Trump,REP,42.0
2685,lv,Online,Joseph R. Biden Jr.,DEM,47.0
2685,lv,Online,Donald Trump,REP,45.0
1156,lv,Online,Joseph R. Biden Jr.,DEM,52.0
1156,lv,Online,Donald Trump,REP,41.0
809,lv,Online,Joseph R. Biden Jr.,DEM,50.0
809,lv,Online,Donald Trump,REP,43.0
1200,rv,IVR/Online/Text,Joseph R. Biden Jr.,DEM,45.0
1200,rv,IVR/Online/Text,Donald Trump,REP,37.0
1200,rv,IVR/Online/Text,Jo Jorgensen,LIB,2.0
1200,rv,IVR/Online/Text,Howie Hawkins,GRE,1.0
