sample_size,population_full,methodology,end_date,Approve,Disapprove
2200,a,Online,7/19/2020,40.0,55.0
1000,a,Online,7/19/2020,40.0,55.0
713,rv,Online,7/19/2020,42.0,58.0
1500,lv,IVR/Online,7/19/2020,46.0,53.0
1313,a,Live Phone,7/19/2020,40.0,56.0
1117,rv,Live Phone,7/19/2020,41.0,56.0
50404,a,Online,7/19/2020,43.0,55.0
1000,rv,Live Phone,7/18/2020,41.0,48.0
1000,a,Online,7/17/2020,39.0,56.0
810,rv,Online,7/17/2020,39.0,56.0
1000,a,Online,7/16/2020,41.0,53.0
751,rv,Online,7/16/2020,43.0,55.0
1500,lv,IVR/Online,7/16/2020,45.0,53.0
1993,rv,Online,7/16/2020,40.0,58.0
2200,a,Online,7/16/2020,38.0,57.0
1000,a,Online,7/15/2020,40.0,55.0
783,rv,Online,7/15/2020,40.0,57.0
1500,lv,IVR/Online,7/15/2020,47.0,51.0
1006,a,Live Phone,7/15/2020,39.0,57.0
845,rv,Live Phone,7/15/2020,40.0,58.0
1104,rv,Live Phone,7/15/2020,45.0,54.0
1115,a,Online,7/14/2020,40.0,56.0
961,rv,Online,7/14/2020,40.0,56.0
1000,a,Online,7/14/2020,41.0,54.0
818,rv,Online,7/14/2020,42.0,56.0
1500,lv,IVR/Online,7/14/2020,48.0,50.0
1500,a,Online,7/14/2020,39.0,54.0
1252,rv,Online,7/14/2020,41.0,56.0
1504,a,Online,7/14/2020,40.0,54.0
1000,a,Online,7/13/2020,42.0,54.0
751,rv,Online,7/13/2020,42.0,57.0
1500,lv,IVR/Online,7/13/2020,47.0,51.0
1002,rv,Online,7/13/2020,39.0,59.0
1273,rv,Live Phone,7/13/2020,36.0,60.0
1000,a,Online,7/12/2020,40.0,53.0
711,rv,Online,7/12/2020,41.0,57.0
1974,a,Online,7/12/2020,42.0,58.0
1258,lv,Online,7/12/2020,43.0,57.0
1992,rv,Online,7/12/2020,41.0,56.0
2200,a,Online,7/12/2020,37.0,59.0
1000,a,Online,7/12/2020,40.0,55.0
736,rv,Online,7/12/2020,42.0,56.0
1991,rv,Online,7/12/2020,39.0,58.0
900,rv,Live Phone,7/12/2020,42.0,56.0
1500,lv,IVR/Online,7/12/2020,45.0,54.0
53106,a,Online,7/12/2020,44.0,54.0
24203,a,Online,7/12/2020,39.0,57.0
1200,rv,IVR/Online/Text,7/11/2020,44.0,53.0
1000,a,Online,7/10/2020,42.0,53.0
722,rv,Online,7/10/2020,44.0,55.0
2841,rv,Online,7/10/2020,45.0,55.0
4400,a,Online,7/10/2020,39.0,56.0
2000,rv,Online,7/9/2020,41.0,46.0
1000,a,Online,7/9/2020,40.0,56.0
718,rv,Online,7/9/2020,41.0,57.0
2200,a,Online,7/9/2020,38.0,57.0
1993,rv,Online,7/9/2020,40.0,57.0
1500,lv,IVR/Online,7/9/2020,45.0,53.0
2202,a,Online,7/9/2020,39.0,57.0
1000,a,Online,7/8/2020,40.0,55.0
793,rv,Online,7/8/2020,42.0,55.0
1500,lv,IVR/Online,7/8/2020,45.0,54.0
6006,a,Online,7/8/2020,39.0,55.0
1114,a,Online,7/7/2020,38.0,57.0
952,rv,Online,7/7/2020,40.0,57.0
1000,a,Online,7/7/2020,43.0,50.0
803,rv,Online,7/7/2020,42.0,55.0
1500,lv,IVR/Online,7/7/2020,44.0,54.0
1500,a,Online,7/7/2020,41.0,55.0
1165,rv,Online,7/7/2020,42.0,57.0
1000,a,Online,7/6/2020,42.0,54.0
730,rv,Online,7/6/2020,43.0,55.0
1000,a,Online,7/6/2020,40.0,55.0
744,rv,Online,7/6/2020,42.0,56.0
1000,a,Online,7/6/2020,41.0,54.0
759,rv,Online,7/6/2020,44.0,55.0
1500,lv,IVR/Online,7/6/2020,45.0,53.0
1500,lv,IVR/Online,7/5/2020,47.0,52.0
1011,rv,Online,7/5/2020,42.0,58.0
44557,a,Online,7/5/2020,43.0,55.0
1200,rv,IVR/Online/Text,7/4/2020,39.0,58.0
1000,a,Online,7/4/2020,43.0,52.0
746,rv,Online,7/4/2020,43.0,55.0
2011,rv,Online,7/3/2020,39.0,59.0
2200,a,Online,7/3/2020,38.0,58.0
1200,a,Online,7/2/2020,40.0,56.0
1000,a,Online,7/2/2020,41.0,52.0
776,rv,Online,7/2/2020,45.0,54.0
1500,lv,IVR/Online,7/2/2020,47.0,52.0
1500,lv,IVR/Online,7/1/2020,46.0,52.0
1000,a,Online,7/1/2020,39.0,56.0
820,rv,Online,7/1/2020,40.0,57.0
1525,a,Online,7/1/2020,41.0,52.0
1000,a,Online,7/1/2020,41.0,52.0
804,rv,Online,7/1/2020,43.0,53.0
1115,a,Online,6/30/2020,39.0,57.0
943,rv,Online,6/30/2020,41.0,57.0
1500,lv,IVR/Online,6/30/2020,44.0,54.0
1500,a,Online,6/30/2020,40.0,54.0
1198,rv,Online,6/30/2020,42.0,57.0
1005,rv,Online,6/30/2020,39.0,56.0
1233,a,Online,6/30/2020,37.0,56.0
1000,a,Online,6/30/2020,42.0,54.0
812,rv,Online,6/30/2020,43.0,55.0
867,a,Live Phone,6/30/2020,41.0,53.0
733,rv,Live Phone,6/30/2020,41.0,54.0
1204,rv,Online,6/30/2020,43.0,56.0
1016,a,Live Phone,6/30/2020,38.0,57.0
1000,a,Online,6/29/2020,43.0,53.0
745,rv,Online,6/29/2020,44.0,55.0
1984,rv,Online,6/29/2020,39.0,59.0
2200,a,Online,6/29/2020,38.0,58.0
1500,lv,IVR/Online,6/29/2020,43.0,55.0
1000,rv,Live Phone,6/29/2020,40.3,57.7
1986,rv,Online,6/29/2020,39.0,59.0
1663,lv,Online,6/28/2020,43.0,57.0
1000,a,Online,6/28/2020,42.0,55.0
718,rv,Online,6/28/2020,42.0,57.0
1500,lv,IVR/Online,6/28/2020,42.0,55.0
2200,a,Online,6/28/2020,36.0,58.0
2200,a,Online,6/28/2020,38.0,58.0
1000,lv,Online,6/28/2020,41.0,59.0
1200,rv,IVR/Online/Text,6/27/2020,42.0,55.0
1000,a,Online,6/27/2020,43.0,54.0
812,rv,Online,6/27/2020,43.0,56.0
999,a,Online,6/27/2020,41.2,58.8
903,lv,Online,6/27/2020,46.4,53.6
996,rv,IVR/Text,6/26/2020,42.0,54.0
1995,rv,Online,6/26/2020,41.0,56.0
2200,a,Online,6/26/2020,40.0,56.0
2200,a,Online,6/26/2020,42.0,54.0
1507,a,Online,6/25/2020,41.0,52.0
1000,a,Online,6/25/2020,41.0,56.0
751,rv,Online,6/25/2020,41.0,57.0
1500,lv,IVR/Online,6/25/2020,44.0,53.0
1500,lv,IVR/Online,6/24/2020,47.0,51.0
1000,a,Online,6/24/2020,40.0,56.0
818,rv,Online,6/24/2020,42.0,55.0
1640,a,Live Phone,6/24/2020,40.0,58.0
1515,rv,Live Phone,6/24/2020,41.0,57.0
2000,a,Online,6/24/2020,36.0,52.0
1217,lv,Online,6/24/2020,39.0,56.0
9962,rv,Online,6/24/2020,40.0,58.0
1115,a,Online,6/23/2020,39.0,57.0
934,rv,Online,6/23/2020,39.0,59.0
951,rv,Online,6/23/2020,46.0,54.0
1000,a,Online,6/23/2020,41.0,54.0
792,rv,Online,6/23/2020,43.0,55.0
1500,lv,IVR/Online,6/23/2020,47.0,52.0
1500,a,Online,6/23/2020,40.0,53.0
1230,rv,Online,6/23/2020,43.0,55.0
1917,a,IVR,6/23/2020,44.0,47.0
1000,a,Online,6/22/2020,41.0,55.0
800,rv,Online,6/22/2020,42.0,56.0
1000,a,Online,6/22/2020,41.0,52.0
770,rv,Online,6/22/2020,41.0,56.0
800,rv,Live Phone,6/22/2020,39.0,52.0
1500,lv,IVR/Online,6/22/2020,45.0,53.0
1313,rv,Online,6/22/2020,41.0,58.0
1337,rv,Live Phone,6/22/2020,41.0,56.0
4708,a,Online,6/22/2020,39.0,59.0
1988,rv,Online,6/21/2020,39.0,58.0
2200,a,Online,6/21/2020,38.0,57.0
1995,rv,Online,6/21/2020,39.0,58.0
1500,lv,IVR/Online,6/21/2020,46.0,52.0
1013,rv,IVR/Text,6/20/2020,41.0,54.0
1000,a,Online,6/20/2020,42.0,54.0
769,rv,Online,6/20/2020,43.0,55.0
1100,a,Live Phone,6/20/2020,38.0,58.0
993,rv,Live Phone,6/20/2020,38.0,58.0
2200,a,Online,6/20/2020,40.0,55.0
1000,a,Online,6/19/2020,40.0,56.0
741,rv,Online,6/19/2020,41.0,58.0
2200,a,Online,6/19/2020,37.0,58.0
1886,rv,Online,6/18/2020,43.0,57.0
1000,a,Online,6/18/2020,42.0,55.0
745,rv,Online,6/18/2020,44.0,55.0
1500,lv,IVR/Online,6/18/2020,47.0,51.0
1633,rv,Online,6/18/2020,41.0,56.0
1840,a,Online,6/18/2020,40.0,55.0
1000,a,Online,6/17/2020,40.0,55.0
752,rv,Online,6/17/2020,41.0,58.0
1500,lv,IVR/Online,6/17/2020,47.0,51.0
1500,lv,IVR/Online,6/16/2020,46.0,53.0
1500,a,Online,6/16/2020,41.0,53.0
1160,rv,Online,6/16/2020,42.0,55.0
1000,a,Online,6/16/2020,44.0,53.0
752,rv,Online,6/16/2020,42.0,56.0
1343,rv,Live Phone,6/16/2020,44.0,55.0
6275,a,Online,6/16/2020,43.0,55.0
1000,lv,Online,6/16/2020,41.0,58.0
1000,lv,Online,6/16/2020,46.0,54.0
4426,a,Online,6/16/2020,38.0,57.0
3768,rv,Online,6/16/2020,39.0,58.0
783,a,Online,6/16/2020,43.6,56.4
686,lv,Online,6/16/2020,46.7,53.3
1000,a,Online,6/15/2020,41.0,55.0
731,rv,Online,6/15/2020,42.0,57.0
1000,rv,Live Phone,6/15/2020,39.0,50.0
1500,lv,IVR/Online,6/15/2020,44.0,55.0
1009,rv,Online,6/15/2020,41.0,58.0
1332,rv,Live Phone,6/15/2020,42.0,55.0
1310,a,Live Phone/Online,6/15/2020,39.0,60.0
1000,a,Online,6/14/2020,40.0,55.0
716,rv,Online,6/14/2020,42.0,56.0
2200,a,Online,6/14/2020,37.0,59.0
1996,rv,Online,6/14/2020,38.0,59.0
1250,lv,Online,6/14/2020,43.0,57.0
1987,rv,Online,6/14/2020,40.0,57.0
1500,lv,IVR/Online,6/14/2020,43.0,56.0
1296,a,Live Phone,6/14/2020,40.0,56.0
1094,rv,Live Phone,6/14/2020,41.0,56.0
1500,a,Online,6/13/2020,38.0,54.0
1224,rv,Online,6/13/2020,41.0,56.0
1004,lv,Online,6/13/2020,45.0,53.0
1200,rv,IVR/Online/Text,6/13/2020,41.0,58.0
1000,a,Online,6/13/2020,43.0,53.0
766,rv,Online,6/13/2020,44.0,55.0
2200,a,Online,6/13/2020,38.0,59.0
849,a,Online,6/13/2020,41.6,58.4
742,lv,Online,6/13/2020,46.1,53.9
1000,a,Online,6/12/2020,41.0,53.0
715,rv,Online,6/12/2020,42.0,56.0
1303,rv,Online,6/12/2020,41.0,57.0
1509,a,Online,6/12/2020,39.0,57.0
2200,a,Online,6/12/2020,41.0,54.0
935,rv,IVR/Text,6/11/2020,43.0,54.0
1000,a,Online,6/11/2020,43.0,53.0
780,rv,Online,6/11/2020,44.0,55.0
1501,a,Online,6/11/2020,40.0,55.0
1500,lv,IVR/Online,6/11/2020,43.0,55.0
9087,rv,Online,6/11/2020,42.0,54.0
1570,a,Online,6/10/2020,40.0,54.0
1500,lv,IVR/Online,6/10/2020,43.0,56.0
1000,a,Online,6/10/2020,41.0,53.0
762,rv,Online,6/10/2020,44.0,54.0
1912,rv,Online,6/10/2020,47.0,53.0
1114,a,Online,6/9/2020,39.0,57.0
931,rv,Online,6/9/2020,42.0,57.0
1500,rv,Online,6/9/2020,39.0,50.0
1000,a,Online,6/9/2020,42.0,53.0
838,rv,Online,6/9/2020,41.0,58.0
1500,lv,IVR/Online,6/9/2020,44.0,55.0
1500,a,Online,6/9/2020,43.0,52.0
1241,rv,Online,6/9/2020,43.0,56.0
855,a,Online,6/9/2020,37.5,62.5
762,lv,Online,6/9/2020,44.2,55.9
1000,a,Online,6/8/2020,40.0,53.0
747,rv,Online,6/8/2020,41.0,56.0
1500,lv,IVR/Online,6/8/2020,44.0,55.0
1608,rv,Online,6/8/2020,43.0,56.0
855,rv,Online,6/7/2020,42.7,54.0
1992,rv,Online,6/7/2020,39.0,58.0
1000,a,Online,6/7/2020,44.0,52.0
746,rv,Online,6/7/2020,44.0,55.0
2200,a,Online,6/7/2020,37.0,59.0
1991,rv,Online,6/7/2020,39.0,58.0
2201,a,Online,6/7/2020,37.0,58.0
1500,lv,IVR/Online,6/7/2020,47.0,52.0
1200,rv,IVR/Online/Text,6/6/2020,41.0,57.0
1000,a,Online,6/6/2020,39.0,56.0
732,rv,Online,6/6/2020,41.0,58.0
891,a,Online,6/6/2020,35.4,64.6
787,lv,Online,6/6/2020,44.1,56.0
2014,a,Online,6/5/2020,41.0,54.0
1000,a,Online,6/5/2020,41.0,53.0
761,rv,Online,6/5/2020,43.0,55.0
2200,a,Online,6/5/2020,36.0,59.0
1259,a,Live Phone,6/5/2020,38.0,57.0
1125,rv,Live Phone,6/5/2020,40.0,57.0
1280,a,Online,6/5/2020,42.0,53.0
1000,a,Online,6/4/2020,41.0,54.0
726,rv,Online,6/4/2020,42.0,56.0
1500,lv,IVR/Online,6/4/2020,48.0,51.0
500,rv,Online,6/4/2020,42.0,56.0
2827,rv,Online,6/4/2020,44.0,56.0
1034,a,Live Phone,6/4/2020,39.0,57.0
1431,rv,IVR/Online,6/3/2020,43.41,49.56
1062,a,Live Phone,6/3/2020,41.0,55.0
958,rv,Live Phone,6/3/2020,42.0,55.0
1500,lv,IVR/Online,6/3/2020,46.0,52.0
1000,a,Online,6/3/2020,40.0,54.0
734,rv,Online,6/3/2020,40.0,56.0
1233,a,Online,6/3/2020,38.0,51.0
964,rv,Online,6/3/2020,42.0,52.0
1113,a,Online,6/2/2020,39.0,56.0
964,rv,Online,6/2/2020,40.0,57.0
1000,a,Online,6/2/2020,46.0,51.0
1007,lv,Online,6/2/2020,48.0,51.0
1000,a,Online,6/2/2020,42.0,55.0
752,rv,Online,6/2/2020,42.0,57.0
1500,lv,IVR/Online,6/2/2020,44.0,54.0
1500,a,Online,6/2/2020,40.0,53.0
1244,rv,Online,6/2/2020,43.0,55.0
1309,a,Live Phone,6/2/2020,40.0,54.0
1000,rv,Live Phone,6/2/2020,45.0,53.0
917,a,Online,6/2/2020,36.8,63.2
795,lv,Online,6/2/2020,45.3,54.6
1624,rv,Online,6/1/2020,40.0,58.0
1990,a,Online,6/1/2020,39.0,56.0
1000,a,Online,6/1/2020,43.0,53.0
764,rv,Online,6/1/2020,43.0,56.0
1989,rv,Online,6/1/2020,41.0,56.0
2200,a,Online,6/1/2020,40.0,55.0
2190,a,Online,6/1/2020,40.0,55.0
1981,rv,Online,6/1/2020,41.0,55.0
2200,a,Online,6/1/2020,40.0,55.0
1989,rv,Online,6/1/2020,41.0,57.0
1500,lv,IVR/Online,6/1/2020,46.0,53.0
807,a,Live Phone,6/1/2020,42.0,54.0
742,rv,Live Phone,6/1/2020,43.0,54.0
1007,rv,Online,6/1/2020,42.0,55.0
1060,a,Online,5/31/2020,43.0,52.0
1000,a,Online,5/31/2020,42.0,52.0
800,rv,Online,5/31/2020,43.0,55.0
1457,lv,Online,5/31/2020,44.0,56.0
1500,lv,IVR/Online,5/31/2020,47.0,52.0
1000,a,Online,5/30/2020,44.0,51.0
710,rv,Online,5/30/2020,47.0,53.0
1200,rv,IVR/Online/Text,5/30/2020,45.0,53.0
914,a,Online,5/30/2020,39.5,60.5
789,lv,Online,5/30/2020,45.1,55.0
1000,a,Online,5/29/2020,45.0,51.0
783,rv,Online,5/29/2020,43.0,54.0
2201,a,Online,5/29/2020,42.0,53.0
1500,lv,IVR/Online,5/28/2020,46.0,53.0
1000,a,Online,5/28/2020,44.0,51.0
738,rv,Online,5/28/2020,44.0,53.0
1001,a,Live Phone,5/28/2020,45.0,53.0
835,rv,Live Phone,5/28/2020,45.0,53.0
1000,a,Online,5/27/2020,44.0,51.0
765,rv,Online,5/27/2020,43.0,56.0
1500,lv,IVR/Online,5/27/2020,45.0,54.0
1200,rv,Live Phone/Online,5/27/2020,44.0,52.0
4429,a,Online,5/27/2020,41.0,54.0
3732,rv,Online,5/27/2020,43.0,55.0
1000,a,Online,5/26/2020,42.0,52.0
777,rv,Online,5/26/2020,43.0,54.0
1500,lv,IVR/Online,5/26/2020,42.0,57.0
1500,a,Online,5/26/2020,44.0,50.0
1157,rv,Online,5/26/2020,45.0,53.0
1986,rv,Online,5/26/2020,40.0,57.0
1000,lv,Online,5/26/2020,47.0,52.0
913,a,Online,5/26/2020,41.2,58.8
793,lv,Online,5/26/2020,46.3,53.7
1000,a,Online,5/25/2020,46.0,49.0
730,rv,Online,5/25/2020,46.0,52.0
1500,lv,IVR/Online,5/25/2020,44.0,55.0
1992,rv,Online,5/25/2020,44.0,53.0
2200,a,Online,5/25/2020,43.0,53.0
1012,rv,Online,5/25/2020,41.0,57.0
1000,a,Online,5/24/2020,43.0,51.0
754,rv,Online,5/24/2020,43.0,55.0
2200,a,Online,5/24/2020,41.0,52.0
1000,rv,Live Phone,5/24/2020,43.0,48.0
1500,lv,IVR/Online,5/24/2020,43.0,55.0
1000,a,Online,5/23/2020,45.0,50.0
726,rv,Online,5/23/2020,43.0,55.0
891,a,Online,5/23/2020,38.8,61.2
766,lv,Online,5/23/2020,43.4,56.6
1000,a,Online,5/22/2020,46.0,49.0
779,rv,Online,5/22/2020,49.0,49.0
1640,a,Online,5/21/2020,43.0,50.0
1500,lv,IVR/Online,5/21/2020,46.0,53.0
2200,a,Online,5/21/2020,42.0,53.0
1995,rv,Online,5/21/2020,42.0,55.0
1000,a,Online,5/21/2020,43.0,49.0
770,rv,Online,5/21/2020,45.0,53.0
1500,lv,IVR/Online,5/20/2020,45.0,54.0
1000,a,Online,5/20/2020,42.0,54.0
743,rv,Online,5/20/2020,43.0,56.0
1000,lv,Online,5/20/2020,43.0,54.0
1100,a,Live Phone,5/20/2020,40.0,57.0
991,rv,Live Phone,5/20/2020,40.0,58.0
1207,rv,Live Phone,5/20/2020,44.0,54.0
1115,a,Online,5/19/2020,41.0,54.0
957,rv,Online,5/19/2020,42.0,55.0
1500,lv,IVR/Online,5/19/2020,46.0,53.0
1500,a,Online,5/19/2020,43.0,50.0
1235,rv,Online,5/19/2020,46.0,52.0
1000,a,Online,5/19/2020,40.0,54.0
773,rv,Online,5/19/2020,44.0,54.0
899,a,Online,5/19/2020,39.1,60.9
774,lv,Online,5/19/2020,41.7,58.3
1000,a,Online,5/18/2020,41.0,53.0
759,rv,Online,5/18/2020,45.0,54.0
1994,rv,Online,5/18/2020,41.0,55.0
1011,rv,Online,5/18/2020,43.0,55.0
1500,lv,IVR/Online,5/18/2020,46.0,53.0
1323,rv,Live Phone,5/18/2020,42.0,53.0
1056,a,Live Phone/Online,5/18/2020,41.0,58.0
1189,a,Live Phone,5/18/2020,46.0,52.0
1995,rv,Online,5/17/2020,43.0,53.0
